month,egg_crate,egg,beans_brown,beans_white,bone_beef,boneless_beef,bread_sliced,bread_unsliced,rice_ofada,catfish_fresh,catfish_dried,catfish_smoked,chicken_feet,chicken_wings,dried_fish_sardine,tin_milk,tin_milk_peak,frozen_chicken,garri_white,garri_yellow,groundnut_oil,iced_sardine,irish_potato,mackerel_frozen,maize_white,maize_yellow,mudfish_aro,mudfish_dried,onion,palm_oil,plantain_ripe,plantain_unripe,rice_agric,rice_local,rice_medium_grained,rice_imported,sweet_potato,tilapia_fish,titus_frozen,Tomato,vegetable_oil,wheat_flour,yam_tuber
22-Dec,825.08,83.51,586.14,568.34,1795.01,2377.29,537.89,496.35,560.70,1534.50,2311.53,1897.87,1073.41,1382.31,1910.16,281.35,340.01,2694.60,332.95,368.24,1225.46,1590.40,541.57,1597.67,323.64,329.05,1400.74,2239.16,435.93,1024.13,376.24,347.68,586.72,506.17,569.46,724.41,269.23,1255.88,1725.08,458.42,1161.76,1203.88,425.48
23-Jan,850.49,87.23,593.96,572.55,1799.54,2418.91,547.23,506.93,567.19,1535.00,2307.94,1884.00,1079.55,1390.99,1911.81,290.34,356.02,2754.45,337.52,375.87,1256.61,1601.10,543.15,1602.21,334.57,342.15,1418.36,2233.48,446.44,1044.04,384.77,353.86,598.57,514.83,578.36,744.12,273.67,1253.24,1733.57,467.04,1183.67,1236.31,431.36
23-Feb,868.73,88.03,594.15,576.93,1823.44,2445.96,553.03,514.99,570.73,1548.21,2326.07,1897.85,1088.69,1392.72,1920.99,295.74,358.41,2776.51,345.88,380.88,1270.91,1614.40,551.55,1614.89,338.14,342.95,1432.14,2245.35,450.07,1066.14,386.65,355.88,602.09,520.84,584.55,745.96,279.02,1271.86,1744.35,468.09,1196.68,1247.42,436.41
23-Mar,891.54,88.22,596.96,576.20,1856.19,2479.61,561.21,518.14,584.95,1566.34,2352.15,1921.31,1108.61,1413.20,1949.98,300.11,369.15,2827.60,353.16,391.38,1292.55,1641.96,557.06,1651.54,339.79,343.92,1442.91,2256.48,444.37,1086.70,400.43,366.44,613.29,530.08,597.50,765.15,278.36,1279.93,1781.66,466.60,1220.62,1275.23,443.02
23-Apr,915.41,88.17,615.67,584.42,1887.27,2495.69,577.41,536.00,601.61,1589.12,2379.97,1937.26,1115.29,1428.71,1983.19,308.66,378.82,2853.16,362.50,399.78,1317.50,1669.58,567.29,1660.03,346.67,349.46,1466.24,2287.83,446.79,1092.35,412.39,372.89,631.50,546.76,609.57,781.50,286.26,1276.12,1796.46,485.10,1239.58,1295.17,444.69
23-May,933.38,89.17,629.75,599.74,1914.92,2520.52,596.11,550.65,612.05,1610.63,2424.73,1963.22,1133.87,1462.35,2026.13,317.51,384.19,2889.99,371.42,401.59,1330.35,1693.09,585.10,1696.22,350.82,359.52,1482.21,2300.90,453.86,1109.17,425.79,386.74,640.36,555.18,615.32,793.01,297.35,1303.98,1819.26,498.34,1263.00,1315.31,457.25
23-Jun,986.81,91.46,651.12,622.79,2055.18,2663.83,634.16,593.56,645.51,1694.85,2491.26,2049.64,1206.75,1547.04,2129.13,365.73,444.93,3063.37,403.15,429.11,1387.64,1760.76,623.75,1767.02,378.71,388.25,1562.36,2388.39,491.04,1174.20,450.19,408.69,677.16,608.20,667.51,839.84,318.53,1383.16,1900.12,547.28,1322.24,1380.45,510.77
23-Jul,1006.64,93.01,673.53,652.61,2128.19,2758.13,651.78,607.27,679.22,1761.38,2559.26,2108.93,1234.71,1566.20,2181.12,401.68,485.80,3098.34,429.89,459.70,1419.79,1806.00,643.47,1803.23,536.74,537.36,1611.84,2438.01,502.73,1208.62,585.78,549.94,706.59,653.49,699.06,869.77,339.63,1437.84,1959.41,557.96,1365.17,1419.14,539.41
23-Aug,1031.55,95.10,692.95,668.22,2158.12,2799.51,684.85,641.88,719.77,1800.63,2650.00,2162.49,1281.55,1598.87,2226.93,431.28,499.58,3144.10,456.32,484.22,1470.64,1830.79,673.96,1848.43,580.09,583.72,1667.35,2535.05,513.29,1238.56,593.24,556.94,774.42,738.74,788.24,957.47,360.53,1479.30,1997.63,554.37,1389.14,1487.88,576.39
23-Sep,1047.47,96.00,716.97,691.46,2174.24,2816.91,708.36,661.75,752.97,1823.06,2684.94,2196.10,1308.82,1630.58,2248.21,444.18,508.39,3176.69,467.89,496.17,1496.17,1870.34,687.87,1876.82,566.93,563.87,1680.93,2566.09,515.59,1262.67,586.43,543.97,797.98,757.06,806.91,982.07,359.70,1501.36,2045.95,565.69,1414.01,1515.88,593.83
23-Oct,1112.22,103.93,790.01,770.13,2557.80,2948.03,760.82,736.68,811.83,2013.31,3045.57,2420.00,1470.99,1772.63,3280.54,457.26,511.77,3394.09,520.35,540.87,1604.23,1998.20,829.14,2034.95,548.96,538.85,1860.80,2763.21,592.80,1322.55,627.50,610.34,847.08,819.42,897.49,1016.12,403.02,1701.30,2172.99,675.91,1489.74,1727.28,687.68
23-Nov,1202.18,110.10,838.85,800.49,2630.02,3029.50,814.53,795.83,940.16,2231.23,3276.63,2816.48,1791.10,2046.50,2750.91,469.73,526.83,3645.89,548.95,581.09,1738.96,2222.99,872.63,2205.04,557.33,559.18,2131.01,2982.69,683.78,1370.16,693.65,694.69,916.69,867.18,936.25,1137.40,490.80,1979.77,2418.17,758.65,1610.18,1884.62,772.72
23-Dec,1254.90,110.04,870.67,829.86,2696.88,3146.94,855.05,815.11,1002.10,2347.41,3357.51,2869.40,1950.54,2264.87,2863.97,487.94,542.00,3771.41,568.72,598.75,1806.95,2303.96,1006.36,2266.19,577.77,589.75,2214.58,3137.50,971.86,1425.32,757.99,746.04,972.46,917.93,991.08,1226.29,551.92,2059.53,2512.16,814.16,1709.55,1976.59,818.92
24-Jan,1309.75,116.41,976.58,921.38,2898.12,3315.78,904.02,865.28,1107.45,2497.37,3541.14,3078.91,2052.10,2506.81,3036.87,519.32,575.78,4007.58,600.69,624.21,1880.97,2400.76,1051.77,2457.96,633.91,641.35,2380.44,3411.90,881.20,1456.72,810.67,811.95,1086.80,1021.79,1132.87,1322.01,615.47,2214.43,2628.51,845.26,1782.77,2042.98,901.94
24-Feb,1486.69,139.28,1177.93,1156.82,3115.01,3654.56,1047.86,996.55,1338.97,2758.38,3841.66,3267.36,2313.50,2751.90,3278.53,565.64,636.00,4370.78,723.45,753.56,2008.99,2605.69,1130.63,2711.77,729.45,724.22,2651.60,3668.28,915.61,1561.46,846.50,858.99,1274.72,1222.97,1361.48,1549.50,672.83,2445.26,2883.07,937.85,1878.81,2277.59,1009.56
24-Mar,1621.10,147.92,1234.40,1192.22,3530.42,4309.16,1109.15,1054.67,1525.75,3043.44,4048.06,3370.59,2440.35,2992.37,3493.99,611.09,669.71,4564.58,749.89,804.01,2165.29,2787.70,1254.45,2972.11,757.86,758.09,2820.27,3830.35,938.87,1565.90,947.35,933.16,1378.84,1340.74,1438.07,1633.94,689.47,2728.63,3124.04,959.68,2003.65,2477.63,1068.78
24-Apr,1680.51,150.85,1387.90,1313.48,3821.74,4711.65,1141.36,1092.40,1552.18,3140.53,4176.47,3442.79,2660.90,3330.30,3653.35,643.11,725.74,4829.13,851.81,909.77,2231.82,2912.03,1413.57,3224.99,797.61,798.53,2945.50,3928.20,1018.83,1634.05,1009.05,1000.41,1487.91,1399.34,1535.83,1771.56,807.35,2828.87,3395.05,1123.41,2078.21,2573.25,1130.37
24-May,1786.66,160.31,2009.23,1847.84,4145.09,5137.52,1308.12,1216.32,1738.21,3418.73,4553.42,3604.96,2907.33,3561.64,3945.73,691.16,783.98,5032.04,1114.72,1184.35,2351.91,3069.32,1595.07,3404.62,950.16,957.98,3234.69,4225.06,1168.91,1683.03,1106.33,1139.02,1613.56,1608.89,1702.85,1984.88,903.22,3148.33,3577.48,1479.69,2230.97,3001.59,1322.36
24-Jun,1935.69,168.51,2292.76,2153.87,4459.52,5400.54,1378.34,1289.13,1828.84,3615.19,4748.86,3739.52,3088.80,3756.89,4006.47,720.26,801.49,5240.60,1135.51,1213.98,2564.89,3159.10,2423.27,3617.59,1002.22,1024.69,3477.68,4288.77,1547.78,1842.27,1417.13,1325.63,1735.88,1702.74,1831.49,2104.15,976.96,3389.29,3802.00,2302.26,2405.14,3157.75,2021.55
24-Jul,2170.17,185.10,2444.81,2309.53,4521.29,5441.07,1427.25,1335.83,2038.36,3926.12,5110.20,4046.89,3110.55,3852.70,4301.50,748.75,851.07,5425.90,1151.79,1218.68,2665.11,3362.10,1781.01,3865.42,1029.30,1038.91,3739.50,4492.21,1273.75,1855.42,1497.39,1430.83,1756.79,1766.64,1844.32,2191.06,970.50,3648.87,4165.90,1693.83,2478.95,3259.82,1802.84
24-Aug,2289.19,198.63,2574.63,2425.92,4660.62,5553.80,1459.85,1380.36,2234.06,3934.23,5099.07,4155.84,3163.16,3954.08,4404.35,786.05,893.38,5507.61,1124.40,1170.65,2726.24,3532.51,1650.74,3941.59,1028.33,1037.45,3834.68,4669.23,1201.09,1884.81,1492.63,1450.32,1882.39,1831.05,1924.76,2329.05,850.31,3711.36,4235.56,1506.35,2552.11,3485.34,1661.80
24-Sep,2487.04,219.64,2738.59,2579.02,4750.39,5633.60,1528.19,1430.57,2359.47,4060.29,5381.17,4195.26,3243.77,4062.96,4565.93,818.74,935.49,5759.80,1170.25,1238.15,2835.49,3642.94,1662.81,4046.99,1065.14,1065.33,3994.40,5024.88,1207.27,2070.62,1500.43,1511.09,1965.64,1914.77,1998.39,2403.86,870.15,3850.97,4416.93,1430.87,2607.67,3570.75,1668.49
